,tweet_id,favourites_count,retweet_count
1718,679530280114372609,4918,2181
1719,679527802031484928,2716,758
1720,679511351870550016,3466,1326
1721,679503373272485890,3231,1545
1722,679475951516934144,2151,664
1723,679462823135686656,32634,19741
1724,679405845277462528,2444,1260
1725,679158373988876288,22001,8483
1726,679148763231985668,2850,1081
1727,679132435750195208,3046,1215
1728,679111216690831360,6133,2680
1729,679062614270468097,17511,8590
1730,679047485189439488,2304,706
1731,679001094530465792,2910,1296
1732,678991772295516161,2380,1233
1733,678969228704284672,1690,484
1734,678800283649069056,2649,946
1735,678798276842360832,3550,1237
1736,678774928607469569,2882,962
1737,678767140346941444,3632,1433
1738,678764513869611008,1681,501
1739,678755239630127104,7317,3462
1740,678740035362037760,3857,1769
1741,678708137298427904,5728,2531
1742,678675843183484930,2947,1545
1743,678643457146150913,2102,442
1744,678446151570427904,4109,1637
1745,678424312106393600,5551,2654
1746,678410210315247616,4341,1905
1747,678399652199309312,81196,33165
1748,678396796259975168,1631,443
1749,678389028614488064,1915,440
1750,678380236862578688,2503,952
1751,678341075375947776,1773,563
1752,678334497360859136,1335,270
1753,678278586130948096,11725,6336
1754,678255464182861824,1628,387
1755,678023323247357953,1978,399
1756,678021115718029313,14065,6659
1757,677961670166224897,3502,1759
1758,677918531514703872,1383,427
1759,677895101218201600,4950,2199
1760,677716515794329600,3132,1008
1761,677700003327029250,3472,1513
1762,677698403548192770,1261,334
1763,677687604918272002,2540,882
1764,677673981332312066,3405,1563
1765,677662372920729601,1986,1013
1766,677644091929329666,1901,834
1767,677573743309385728,2182,753
1768,677565715327688705,1323,474
1769,677557565589463040,2493,1208
1770,677547928504967168,7083,3794
1771,677530072887205888,1094,236
1772,677335745548390400,3103,1861
1773,677334615166730240,1380,303
1774,677331501395156992,1119,244
1775,677328882937298944,3713,1563
1776,677314812125323265,1679,553
1777,677301033169788928,1262,428
1778,677269281705472000,2042,731
1779,677228873407442944,3620,1702
1780,677187300187611136,2793,960
1781,676975532580409345,2841,1113
1782,676957860086095872,2262,839
1783,676949632774234114,1337,412
1784,676948236477857792,2221,905
1785,676946864479084545,1750,392
1786,676942428000112642,2109,785
1787,676936541936185344,12963,5086
1788,676916996760600576,3018,1864
1789,676897532954456065,2300,746
1790,676864501615042560,2143,737
1791,676821958043033607,23494,16200
1792,676819651066732545,1843,692
1793,676811746707918848,1447,440
1794,676776431406465024,5095,2084
1795,676617503762681856,2955,1014
1796,676613908052996102,1100,203
1797,676606785097199616,1918,456
1798,676603393314578432,1184,395
1799,676593408224403456,4659,2234
1800,676590572941893632,928,129
1801,676588346097852417,2358,821
1802,676582956622721024,1227,289
1803,676575501977128964,2635,1156
1804,676533798876651520,1902,577
1805,676496375194980353,1544,550
1806,676470639084101634,11807,4840
1807,676440007570247681,1746,689
1808,676430933382295552,1419,358
1809,676263575653122048,2118,569
1810,676237365392908289,1243,301
1811,676219687039057920,76788,32091
1812,676215927814406144,1770,603
1813,676191832485810177,2318,1066
1814,676146341966438401,1949,683
1815,676121918416756736,2191,1197
1816,676101918813499392,2862,1203
1817,676098748976615425,3053,1481
1818,676089483918516224,1334,447
1819,675898130735476737,1648,591
1820,675891555769696257,2162,891
1821,675888385639251968,2416,995
1822,675878199931371520,4225,1444
1823,675870721063669760,1662,591
1824,675853064436391936,2726,1338
1825,675849018447167488,952,152
1826,675845657354215424,2309,911
1827,675822767435051008,1546,554
1828,675820929667219457,1062,238
1829,675798442703122432,10391,3490
1830,675781562965868544,1649,490
1831,675740360753160193,1187,358
1832,675710890956750848,1917,845
1833,675707330206547968,2005,716
1834,675706639471788032,650,101
1835,675534494439489536,1840,431
1836,675531475945709568,1199,394
1837,675522403582218240,1052,294
1838,675517828909424640,1306,472
1839,675501075957489664,17347,5975
1840,675497103322386432,3181,1338
1841,675489971617296384,1319,616
1842,675483430902214656,1857,996
1843,675432746517426176,1539,589
1844,675372240448454658,1706,526
1845,675362609739206656,1060,236
1846,675354435921575936,33106,17689
1847,675349384339542016,3965,2322
1848,675334060156301312,2803,1332
1849,675166823650848770,3654,1657
1850,675153376133427200,6344,2666
1851,675149409102012420,3769,1723
1852,675147105808306176,950,243
1853,675146535592706048,1203,320
1854,675145476954566656,2159,928
1855,675135153782571009,1308,508
1856,675113801096802304,1969,805
1857,675111688094527488,977,260
1858,675109292475830276,2825,1163
1859,675047298674663426,1069,337
1860,675015141583413248,2730,1229
1861,675006312288268288,996,232
1862,675003128568291329,1571,485
1863,674999807681908736,2271,1126
1864,674805413498527744,864,363
1865,674800520222154752,3049,880
1866,674793399141146624,2527,1112
1867,674790488185167872,1118,253
1868,674788554665512960,822,216
1869,674781762103414784,2017,1233
1870,674774481756377088,1128,485
1871,674767892831932416,1841,812
1872,674764817387900928,791,243
1873,674754018082705410,1369,460
1874,674752233200820224,1470,479
1875,674743008475090944,1420,564
1876,674742531037511680,493,51
1877,674739953134403584,1119,400
1878,674737130913071104,650,96
1879,674690135443775488,1153,481
1880,674670581682434048,1613,665
1881,674664755118911488,930,260
1882,674646392044941312,1448,504
1883,674644256330530816,1031,275
1884,674638615994089473,1696,594
1885,674632714662858753,1515,594
1886,674606911342424069,942,102
1887,674468880899788800,6275,2105
1888,674447403907457024,1071,364
1889,674436901579923456,1121,399
1890,674422304705744896,1445,550
1891,674416750885273600,683,143
1892,674410619106390016,1205,475
1893,674394782723014656,1517,584
1894,674372068062928900,850,321
1895,674330906434379776,566,74
1896,674318007229923329,1428,525
1897,674307341513269249,11391,7101
1898,674291837063053312,14819,6011
1899,674271431610523648,1577,744
1900,674269164442398721,909,228
1901,674265582246694913,1659,867
1902,674262580978937856,1311,463
1903,674255168825880576,1470,565
1904,674082852460433408,758,173
1905,674075285688614912,989,294
1906,674063288070742018,6396,2252
1907,674053186244734976,3343,1324
1908,674051556661161984,1452,496
1909,674045139690631169,1426,651
1910,674042553264685056,726,131
1911,674038233588723717,1107,422
1912,674036086168010753,851,217
1913,674024893172875264,1795,1246
1914,674019345211760640,1136,306
1915,674014384960745472,1569,659
1916,674008982932058114,1203,364
1917,673956914389192708,1952,976
1918,673919437611909120,1173,376
1919,673906403526995968,3207,1646
1920,673887867907739649,933,254
1921,673716320723169284,3093,760
1922,673715861853720576,3558,2114
1923,673711475735838725,1042,302
1924,673709992831262724,848,278
1925,673708611235921920,1087,295
1926,673707060090052608,1103,398
1927,673705679337693185,1258,408
1928,673700254269775872,1445,581
1929,673697980713705472,3815,1984
1930,673689733134946305,1741,661
1931,673688752737402881,1270,503
1932,673686845050527744,1443,448
1933,673680198160809984,1375,477
1934,673662677122719744,1258,367
1935,673656262056419329,720,247
1936,673636718965334016,1105,365
1937,673612854080196609,1599,732
1938,673583129559498752,1193,370
1939,673580926094458881,838,274
1940,673576835670777856,1389,570
1941,673363615379013632,1026,309
1942,673359818736984064,1455,681
1943,673355879178194945,1494,586
1944,673352124999274496,1658,545
1945,673350198937153538,749,217
1946,673345638550134785,2517,1289
1947,673343217010679808,972,274
1948,673342308415348736,1274,593
1949,673320132811366400,13489,8065
1950,673317986296586240,878,264
1951,673295268553605120,7537,3202
1952,673270968295534593,1068,373
1953,673240798075449344,1426,743
1954,673213039743795200,2248,854
1955,673148804208660480,1686,640
1956,672997845381865473,1981,734
1957,672995267319328768,959,299
1958,672988786805112832,988,298
1959,672984142909456390,1260,549
1960,672980819271634944,1831,1024
1961,672975131468300288,1685,918
1962,672970152493887488,948,361
1963,672968025906282496,1317,554
1964,672964561327235073,1421,647
1965,672902681409806336,1366,511
1966,672898206762672129,907,428
1967,672884426393653248,1555,843
1968,672877615439593473,1033,372
1969,672834301050937345,1313,577
1970,672828477930868736,1258,500
1971,672640509974827008,977,327
1972,672622327801233409,1302,496
1973,672614745925664768,1222,593
1974,672609152938721280,1117,393
1975,672604026190569472,1109,403
1976,672594978741354496,1332,614
1977,672591762242805761,950,337
1978,672591271085670400,723,185
1979,672538107540070400,1031,370
1980,672523490734551040,640,173
1981,672488522314567680,1111,445
1982,672482722825261057,1134,607
1983,672481316919734272,718,126
1984,672475084225949696,1430,708
1985,672466075045466113,1353,545
1986,672272411274932228,6452,3421
1987,672267570918129665,1497,622
1988,672264251789176834,1138,341
1989,672256522047614977,2812,1568
